"SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"0",0.986455777,52,0,0.054079039,8653,4,0,0,0,1
"0",0,49,0,0.585138287,3000,8,0,3,0,4
"0",0.920964926,68,0,0.193385867,7740,5,0,1,0,1
"0",0.075827281,79,0,0.037048148,6666,9,0,1,0,0
"0",0.082875846,41,0,0.383936011,6000,14,0,2,0,3
"0",0.091116355,42,0,0.047980808,2500,4,0,0,0,0
"0",0.003508736,65,0,0.091548567,9666,16,0,1,0,0
"0",0.237459594,44,0,1.423717522,1500,20,0,2,0,2
"0",0.033164228,41,0,0.238095238,8000,9,0,1,0,1
"0",0.934206579,53,0,0.159703504,7419,3,0,1,0,3
"0",0.018644006,74,0,0.041281139,2809,3,0,0,0,0
"0",1.56261343,38,1,0.291541291,2990,5,4,0,0,0
"0",0.840416527,46,3,0.55421048,11316,10,0,2,0,2
"0",0,53,1,0.205649529,12000,6,0,3,0,4
"0",0.093438428,68,0,0.060168739,9007,6,0,2,0,0
"0",0.273414198,37,0,0.874446508,7000,10,0,2,0,0
"0",0.007338024,37,0,0.352729454,5000,14,0,1,0,0
"0",0.109228254,54,0,0.232618729,13433,13,0,1,0,3
"0",0.274999373,48,0,0.152113389,3950,6,0,0,0,1
"0",0.035941938,78,0,515,0,10,0,0,0,0
"0",0.061043028,62,0,0.179280655,7200,14,0,1,0,3
"0",0.050967445,55,0,0.153132063,12387,15,0,3,0,3
"0",0.00032383,57,0,0.309880006,12833,13,0,2,0,2
"0",0.252754618,64,0,0.099354045,3250,7,0,0,0,0
"0",0.186702338,49,0,0.310229727,5092,7,0,2,0,2
"0",0.180363927,33,0,0.310768352,3500,8,0,0,0,0
"0",0,29,0,0.067260498,5500,5,0,0,0,2
"0",0.038414192,57,0,0.052688993,18333,8,0,1,0,0
"0",0.012541144,82,0,0.208164862,7666,9,0,2,0,0
"0",0.017696113,75,0,0.090818197,6000,7,0,1,0,0
"0",0,62,0,0.253245495,5160,2,0,1,0,2
"0",0.029599408,67,0,0.202212531,9400,7,0,2,0,1
"0",0.176068195,73,0,0.319226924,3000,11,0,1,0,1
"0",0.9999999,46,0,0.025177689,8300,3,0,1,0,2
"0",0.9999999,50,0,0.285714286,8833,4,0,1,0,2
"0",0.652426831,76,0,0.760932945,2400,5,0,1,0,0
"0",0.823478992,53,0,1.023859763,6160,14,0,2,0,0
"0",0.909859569,51,1,1.045393137,3700,9,0,2,0,1
"0",0.030552421,67,1,0.428605712,12500,13,0,1,0,1
"0",0.089291071,26,0,0.665042631,820,3,0,0,0,0
"0",0.9999999,23,0,0,1120,2,0,0,0,0
"0",0.305360385,52,0,0.440519827,3000,3,0,1,0,0
"0",0.418666209,31,0,0.424702567,6387,9,0,2,0,0
"0",0.130460278,47,0,0.414455689,14623,13,0,1,0,2
"0",0.073390454,76,0,0.042590178,2300,10,0,0,0,0
"0",0.078670142,46,0,0.219722731,7645,4,0,1,0,4
"1",0.708248193,47,1,1.489091152,7470,15,0,4,0,3
"0",0.742902839,28,0,0.372712146,600,2,0,0,0,0
"0",0.813296676,39,1,0.213514594,2500,4,0,0,0,2
"0",0.790867346,71,0,0.561262607,5353,6,0,2,0,1
"0",0.9999999,50,0,0.098334401,9365,7,0,1,0,0
"0",0.553545531,32,0,0.062390018,6250,4,0,0,0,2
"0",0.484257871,57,0,0.018490755,2000,3,0,0,0,0
"0",0.263469479,44,0,0.372256365,6833,9,0,1,0,0
"0",0.094842916,47,1,0.154748968,4600,10,0,0,0,1
"0",0,53,0,0.4803849,1350,7,0,0,0,1
"0",0.221067481,70,0,0.06557377,5916,7,0,0,0,0
"0",0.042942218,44,0,0.061037856,9403,8,0,0,0,1
"0",0.9999999,38,0,1.129948021,2500,5,0,2,0,2
"0",0.9999999,46,0,0.001142694,7000,0,0,0,0,3
"0",0.17921396,30,0,0.135912288,4833,7,0,0,0,0
"0",0.119034788,54,0,0.008427368,7000,2,0,0,0,1
"0",0.907205587,63,2,0.719407101,2900,8,1,2,0,0
"0",0.017570291,89,0,41,0,8,0,0,0,0
"0",0.023919043,63,0,0.006535948,2600,3,0,0,0,0
"0",0.9999999,44,0,0.376062394,10000,8,0,2,0,2
"0",0.757903769,36,0,0.310077519,8900,6,0,2,0,0
"0",0.9999999,38,0,0.0014997,3333,1,0,0,0,0
"0",0.175573517,68,0,0.484251969,5333,11,0,1,0,0
"1",0.75756061,40,3,0.524241933,6166,8,2,2,2,1
"0",0.324862202,28,0,0.099588618,5833,6,0,0,0,0
"0",0.9999999,36,0,0.49663841,3420,5,1,1,4,2
"0",0.044391122,50,0,0.432757151,12900,12,0,2,0,0
"0",0.034108289,71,1,0.097258804,10250,13,0,2,0,0
"0",0.431178681,53,5,0.455860455,4700,22,0,2,0,1
"0",0,22,0,0,820,2,0,0,0,0
"0",0.116569358,39,1,0.284787895,3700,7,0,2,0,3
"0",0.044612965,72,0,0.314595661,6083,15,0,1,0,0
"0",0,50,0,0.169942197,3459,2,0,0,0,1
"0",0.162734906,58,0,0.005997001,2000,3,1,0,0,0
"0",0.018845429,70,0,0.220284754,6250,3,0,2,0,0
"0",0.611902381,44,0,0.522134351,11000,8,0,1,0,1
"0",0.132192778,54,0,0.517096581,5000,13,0,1,0,1
"0",0.580626804,57,0,0.330997635,11416,7,0,2,0,0
"0",0.915780028,37,1,0.348963274,7378,4,0,1,0,1
"0",0.062943154,40,0,0.307244796,11000,9,0,2,0,2
"0",0.039761537,44,0,0.776805799,4000,23,0,4,0,2
"0",0.053721517,54,0,0.511819994,3510,23,0,2,0,3
"0",0.066257989,46,0,0.140305427,7333,12,0,0,0,0
"0",0.220248843,56,0,0.431568432,1000,11,0,0,0,2
"0",0.421915617,37,0,0.219651528,3500,7,0,0,0,0
"0",0.082080224,73,0,0.166907254,11083,6,0,1,0,0
"0",0.888127797,40,0,0.128297795,8300,1,0,0,0,3
"0",0.023924402,58,0,0.199980002,10000,6,0,1,0,0
"0",0.412599594,39,0,0.458677088,6908,7,0,2,0,2
"0",0.006065774,37,0,0.257092863,8000,6,0,1,0,3
"0",0.212826239,42,0,0.247420206,12500,8,0,2,0,2
"0",0,40,0,1466,0,7,0,2,0,0
"0",0.420112498,27,0,0.208094849,4891,14,0,0,0,0
"0",0,37,0,0,3360,1,0,0,0,0
"0",0.9999999,48,0,0.152226968,3277,3,0,0,0,2
"0",0.021245307,47,0,0.361856109,2348,11,0,1,0,0
"0",0.026302918,49,1,0.239067055,5830,16,0,1,0,2
"0",0.989535695,35,0,0.487825357,3572,4,0,0,0,0
"0",0.095815822,40,0,0.091938708,1500,7,0,0,0,2
"0",0,30,0,0,2400,1,0,0,0,0
"0",1.588741126,38,0,0.106789321,10000,7,0,0,0,4
"0",0.321438591,64,4,0.565317255,13931,20,0,4,0,1
"0",0.001379279,81,0,0.001749563,4000,8,0,0,0,0
"0",0.236607346,53,0,0.641124429,7007,22,0,1,0,3
"0",0.036220881,72,0,0.064983754,4000,8,0,1,0,0
"0",0.918304085,61,0,0.589535408,6650,17,0,2,0,0
"0",0.032317415,67,1,0.122133333,3749,4,0,0,0,0
"0",0.008139866,38,0,0.208190659,7300,6,0,2,0,0
"0",0,22,0,0,0,1,0,0,0,0
"0",0.044085429,67,0,0.010887679,9000,6,0,0,0,0
"0",0.267584412,26,0,0.16748112,2250,11,0,0,0,0
"0",0.010133108,71,1,0.18439441,2575,12,0,0,0,0
"0",0.05580108,52,0,0.929053143,3706,10,0,3,0,0
"1",0.9999999,33,0,0.672771344,3712,10,0,2,0,1
"0",0.129991217,43,0,0.269459652,4200,10,0,1,0,0
"0",0.357257652,41,0,0.351780927,5221,10,0,0,0,3
"0",0.020606878,56,0,0.16048541,7333,15,0,1,0,2
"0",0.255254595,41,5,0.433223825,7000,15,0,1,0,2
"0",0.64283427,72,0,0.533942559,5361,10,0,1,0,0
"0",0.64873296,40,1,0.402060294,6600,10,0,2,0,3
"0",0.060700311,56,1,0.160848203,11600,11,0,1,0,1
"1",0.347059358,37,0,0.438760207,6000,9,0,1,0,3
"0",0.400837064,34,0,0.385599524,3360,8,0,1,0,2
"0",0.994011976,29,1,0.117265886,4783,7,0,0,0,0
"1",0.383652126,46,0,0.658396593,5400,11,0,2,0,1
"0",0.313045989,66,0,0.29201714,6300,11,0,2,0,0
"0",0.045048593,55,0,0.566356513,4083,18,0,2,0,2
"0",0.317068293,74,0,0.011399088,8333,3,0,0,0,0
"0",0.129379489,67,1,0.034663669,5336,6,0,0,0,1
"0",0.007283321,90,0,0.00182785,6017,3,0,0,0,0
"0",0.872530749,58,0,0.657039711,3600,19,0,1,0,0
"0",0.0029577,69,0,0.30556419,3216,5,0,2,0,0
"0",0.096159643,53,0,0.317654437,6377,13,0,2,0,0
"0",0.9999999,47,0,0.167651068,2200,1,1,0,0,0
"0",0.278714752,31,0,0.317121919,1500,9,0,0,0,0
"0",0.96516617,38,0,0.163003445,8416,10,0,0,0,0
"0",0.229317545,51,0,0.267751479,6083,8,0,1,0,0
"1",0.864126528,28,2,0.149207814,6500,14,2,0,2,0
"0",0.853382206,25,0,112,1,3,0,0,0,0
"0",0.190384128,73,0,0.822468793,5046,11,0,1,0,0
"0",0.303584821,71,0,0.214330348,4800,3,0,1,0,0
"0",0.055595299,66,0,0.390777249,8825,9,0,1,0,0
"0",0.322100634,44,1,0.776188279,8667,23,0,5,0,3
"0",0.259558352,62,0,0.664167448,3200,21,0,1,0,0
"0",0.092558147,43,0,0.133394664,25000,11,0,1,0,2
"0",0.629417327,67,0,1.136847572,3850,23,0,1,0,0
"0",0.789760512,54,0,0.242093157,10433,6,0,1,0,0
"0",0.110068801,33,0,0.428015564,3083,15,0,1,0,1
"0",0.9999999,39,0,0.351811855,4166,5,0,1,0,1
"0",0.242501119,43,0,0.343275772,3821,10,0,1,0,1
"0",0.841226883,43,1,0.139132982,3413,5,0,0,0,0
"0",0.9999999,56,0,0.334502492,5416,1,0,1,0,1
"0",0.157327019,43,0,0.007283633,2333,2,0,0,0,1
"0",0.060594385,56,0,0.284680338,15750,6,0,2,0,0
"0",0.161526484,38,0,0.440132755,7833,10,0,2,0,2
"0",0.499761369,41,0,0.134287033,6500,4,0,0,0,0
"0",0.418995805,49,0,0.583132871,7066,11,0,1,0,3
"0",0.063575628,48,0,0.028535722,4800,10,0,0,0,2
"0",0.120555025,64,0,0.275521541,8100,6,0,1,0,0
"0",0.428398505,45,0,0.339366516,3756,8,0,1,0,0
"0",0.037616541,45,0,0.518653987,4100,9,0,2,0,1
"0",0.784132674,46,0,0.752422704,4333,8,0,1,0,3
"0",0.006096788,40,0,0.54292804,8059,12,0,1,0,1
"0",0,49,0,0.292115573,4083,4,0,1,0,0
"0",0.531996036,39,0,0.501191737,7551,7,0,2,0,2
"0",0.61736451,29,1,0.081872721,8500,9,0,0,0,0
"0",0.978185784,39,2,0.416253399,6250,4,0,1,0,3
"0",0.512110573,44,3,0.439864801,10650,7,0,2,0,0
"0",0.060479013,46,0,0.194978336,9000,10,0,1,0,4
"0",0.025316456,31,0,0.178082192,2700,3,0,0,0,0
"0",0.786839361,32,0,0.071436507,9000,6,2,0,1,4
"0",0.059519593,74,0,0.25289159,5100,8,0,2,0,1
"0",0.654669066,42,0,0.04392649,2230,4,0,0,0,0
"1",0.682694353,39,0,0.271517997,3833,5,0,0,0,0
"0",0.010275008,69,0,0.294704312,7118,12,0,1,0,1
"0",0.95170037,42,0,0.021449464,40000,6,0,0,0,0
"0",0,29,0,0.080572437,5100,7,0,0,0,0
"0",0.478093066,42,0,0.210526316,2583,6,0,0,0,0
"0",0.9999999,67,0,0.266919763,13696,7,0,2,0,2
"0",0.178752798,60,0,0.777671528,4182,13,0,1,0,0
"0",0,51,1,0.727888523,5166,8,0,3,0,0
"0",0.614756537,51,0,0.459189475,12312,12,0,2,0,3
"0",0.08491726,47,0,0.285714286,17618,11,0,1,0,4
"0",0.103964388,51,0,0.347301329,7373,3,0,1,0,0
"0",0.9999999,32,1,0.023992618,3250,3,2,0,0,0
"0",0.717387908,38,2,0.153607872,5487,4,0,0,1,3
"0",0.018196125,39,0,0.433779642,6198,11,0,1,0,0
"0",0.275484056,57,1,0.366420275,10416,10,0,3,0,2
"0",0.096506839,53,0,0.207320714,16746,11,0,2,0,2
"1",0,76,1,0.324380782,3350,6,0,1,0,0
"0",0.034080493,44,0,0.12720633,11500,6,0,1,0,5
"0",0.383960002,60,0,0.111377753,7083,3,0,0,0,0
"0",1.046656299,30,0,0.473017988,1500,6,0,0,0,0
"0",0.466986045,35,2,0.282269921,3400,6,0,0,0,2
"0",0,43,0,0.34939897,8734,6,0,2,0,2
"0",0.291209738,30,0,0.345122425,2572,21,0,0,0,0
"0",0.377829925,48,0,0.266563147,7727,12,0,1,0,1
"0",0.9999999,28,0,0.087165134,2500,2,0,0,0,0
"0",0.149382969,41,0,1.709737134,2700,10,0,4,0,0
"0",0.341072656,62,0,1.108051731,2396,10,0,2,0,0
"0",0.12184838,58,0,0.495252374,2000,11,0,1,0,0
"0",0.9999999,62,0,0.167934465,3417,1,0,0,0,0
"0",0.039356206,47,0,0.256293308,11400,6,0,1,0,1
"0",0.9999999,61,0,0,2178,2,0,0,0,0
"1",0.996627123,56,2,0.109125718,4700,11,0,0,0,1
"0",0.925059719,49,1,0.570794951,2930,7,1,1,0,1
"0",0,35,0,0.223101858,16041,7,0,1,0,1
"0",0.278686428,81,0,0.167013278,6250,10,1,1,0,0
"0",0.041697915,56,0,0.310446297,6116,10,0,1,0,0
"0",0.071785643,48,1,0.295870413,10000,5,0,1,0,0
"0",0.017663723,24,0,0.116196401,4500,4,0,0,0,0
"0",0.113165246,46,0,0.916929548,950,5,0,0,0,1
"1",0.9999999,28,98,0,1700,0,98,0,98,0
"0",0.053222777,65,0,0.00707623,6217,6,0,0,0,0
"0",0.002063786,88,0,0.000761325,2626,2,0,0,0,0
"0",0.372920035,43,0,0.644395964,11000,16,0,1,0,2
"0",0.702084086,44,0,0.114419018,4500,4,0,0,0,3
"0",0.021712929,45,0,0.148570808,9200,9,0,2,0,3
"0",0.159300323,54,0,0.133413752,8289,11,0,1,0,0
"0",0.525800004,66,0,0.213406578,14380,7,0,2,0,1
"0",0,51,1,0.256242293,12975,7,0,1,0,2
"0",0.022901297,43,0,0.208982099,9440,6,0,1,0,1
"0",0.9999999,46,0,0.097167585,5083,10,0,0,0,1
"1",0.9999999,24,0,0.292938931,1047,2,1,0,0,2
"0",0.80693038,59,0,0.280898876,9166,7,0,1,0,0
"0",0.937190564,43,0,0.285889195,9800,10,0,1,0,3
"0",0.318381807,33,0,0.411323585,5333,7,0,1,0,0
"0",0.834636994,66,0,0.470806139,11337,13,0,2,0,0
"0",0.986202759,33,0,0.424383744,1500,11,0,0,0,0
"0",0.416337052,31,0,0.340116827,5306,9,0,1,0,1
"0",0.911108889,56,0,0.588169953,3600,8,0,1,0,0
"0",0.029689737,57,0,0.283244418,10121,7,0,1,0,0
"0",0.034170942,43,0,0.329971182,5551,8,0,1,0,3
"0",0.17541282,32,0,0.600096946,4125,14,0,2,0,0
"0",0.44831183,44,0,0.449238579,4333,10,0,2,0,0
"0",0.347930414,45,0,0.082484138,5200,5,0,0,0,0
"0",0.062052377,71,0,0.016074856,4167,7,0,0,0,0
"0",0.025143567,68,1,0.002756608,12333,7,0,0,0,1
"0",0.008649935,66,0,0.177379561,7700,11,0,1,0,2
"1",0.930243501,41,4,0.325164939,6365,6,0,1,1,2
"0",0.004327062,60,0,0.229312763,12833,18,0,2,0,0
"0",0.024680392,53,0,0.602938176,4900,17,0,2,0,0
"0",0.951409718,58,2,0.98950175,6000,12,0,2,1,0
"0",0,49,3,0.405020096,13186,6,0,2,1,4
"0",0.014852899,81,0,0.000333222,3000,11,0,0,0,0
"0",0.416591794,55,0,0.247750173,13000,13,0,2,0,2
"1",0.616766467,45,0,0.619764398,4583,5,0,1,0,1
"0",0.677902126,66,0,0.231654405,5300,11,0,1,0,3
"0",0.222989075,37,1,0.453777252,5916,11,0,2,0,0
"0",0.138214363,63,0,0.130962067,25808,9,0,2,0,1
"0",0.007681469,63,0,0.452568429,8000,11,0,2,0,1
"0",0.814312241,59,0,0.180638373,2850,3,0,0,0,0
"0",0.479878698,57,0,0.209684331,7000,4,0,1,0,0
"0",0.287267036,49,0,0.243629134,5532,5,0,0,0,0
"0",0.110502476,71,0,0.379578246,9009,22,0,1,0,1
"0",0.046598136,37,0,0.475809676,2500,11,0,1,0,1
"0",0.003866409,76,0,0.113433991,2582,11,0,0,0,0
"0",0.47752827,73,0,1.170651818,3052,29,0,2,0,0
"0",0.978461974,51,0,0.542442217,14666,14,0,2,0,3
"0",0.376641557,68,0,0.380740233,5835,7,0,1,0,0
"0",0,32,0,0.307074762,1992,5,0,0,0,0
"0",0.119241342,59,0,0.032706321,5900,16,0,0,0,0
"1",0.311406328,33,0,1.036975587,4218,5,0,2,0,1
"0",0.902094633,60,3,0.879608083,8164,15,0,2,0,0
"0",0.380813499,51,0,0.115527292,1886,5,0,0,0,0
"0",0.563548429,39,1,1.717501585,3153,13,0,3,0,2
"1",1.032350143,53,0,0.194497761,3125,12,0,0,0,2
"0",0.148180114,39,0,0.120707596,2882,7,0,0,0,0
"0",0.081215174,44,0,0.343169919,2100,5,0,1,0,2
"0",0.081483001,47,0,0.173916149,14000,6,0,1,0,2
"0",0.224975791,35,1,0.415152554,8750,15,0,3,1,0
"0",0.036322639,57,0,0.262691527,5416,7,0,1,0,2
"0",0.275803801,47,0,0.321464473,18900,8,0,1,0,0
"0",0.006624404,82,0,0.296360485,7500,19,0,3,0,0
"0",0.127324845,71,0,0.226628895,6000,7,0,1,0,0
"1",0.846794338,52,1,0.458304135,1426,8,1,0,0,4
"0",0.101252917,38,0,0.187799636,6048,8,0,0,0,3
"0",0.275272473,65,0,0.895552224,2000,10,0,2,0,0
"0",0.076505683,52,0,0.23032176,5500,9,0,1,0,2
"0",0.191268028,76,0,0.453091151,6000,11,0,1,0,0
"0",0.002099522,57,0,0.208442739,4950,11,0,0,0,2
"0",0.033313529,64,0,0.202508635,5500,27,0,1,0,0
"0",0.0115547,29,0,0.089727568,4000,9,0,0,0,0
"0",0.580627842,74,0,0.454590902,6000,10,0,1,0,0
"0",0.982035928,30,0,0.250262881,950,2,0,0,0,0
"0",0.031843278,70,0,0.210903603,5300,18,0,1,0,1
"1",1.127744511,32,0,0.161953728,2333,2,1,0,0,1
"0",0.325507587,35,0,0.653869226,3333,9,0,1,0,1
"0",0.281171243,70,0,0.015814937,57666,13,0,0,0,0
"0",0.541384532,32,0,0.363324764,3500,5,0,1,0,0
"0",0.001499925,63,0,0.112481253,6000,11,0,1,0,0
"1",0.900458142,26,1,0.082566462,3911,7,0,0,1,0
"0",0.132463863,44,0,0.120768229,3071,11,0,0,0,1
"1",0.230631184,65,2,0.506279498,12500,15,0,3,0,0
"0",0.46478923,32,0,0.057155323,6875,5,0,0,0,2
"0",0.012761601,45,0,0.058706336,7528,9,0,0,0,2
"0",0.485606046,32,0,0.463261342,8750,10,0,2,0,0
"0",0.062329178,40,0,0.177254739,4800,8,0,0,0,0
"0",0.167726612,47,0,0.263796201,15583,13,0,3,0,2
"0",0.994002999,26,1,0.19990005,2000,2,0,0,0,0
"0",0.008710724,69,0,0.019257221,1453,3,0,0,0,0
"0",0.038838446,84,0,0.283658537,4099,5,0,1,0,0
"0",0.383193351,44,0,0.547989624,3083,10,0,1,0,0
"0",0.887672749,57,0,1.221065632,5667,18,0,2,0,1
"0",0.543800604,59,0,0.669475789,7000,16,0,1,0,2
"0",0.0132954,34,0,0.174416759,6300,7,0,0,0,1
"0",0.9999999,46,0,0.144807613,2416,1,0,0,0,1
"0",0.834355828,41,0,0.00685401,2917,1,1,0,1,0
"0",0.166935388,57,0,6773,0,14,0,2,0,0
"0",0.13864434,62,0,0.392092257,2427,7,0,1,0,0
"0",0.101484399,23,1,0.012180268,820,2,0,0,0,0
"0",0.242703637,42,1,0.036493918,6000,11,0,0,0,0
"0",0.035014048,69,0,0.189526927,3360,5,0,2,0,0
"0",0.067385878,44,0,0.619714517,3712,13,0,1,0,0
"0",0.038807688,68,0,0.003719447,22583,7,0,0,0,0
"0",0.173292471,76,0,0.121287871,10000,8,0,1,0,0
"0",0.93323768,52,0,0.240426323,8068,25,0,0,0,0
"0",0.9999999,46,0,0.308855292,12500,8,0,2,0,5
"0",0.302159077,54,0,0.545878035,7083,10,0,2,0,0
"0",0.049762247,45,0,0.099440149,3750,9,0,0,0,0
"0",0.08893945,59,1,0.796524258,4142,32,0,1,0,0
"0",0.9999999,25,0,0.023158572,3108,1,0,0,0,0
"1",0.856682591,46,1,0.361919154,2646,10,0,0,0,0
"0",0.524186492,54,0,0.341441576,6700,7,0,1,0,0
"1",0.523462094,47,2,0.569574734,6395,11,0,1,0,2
"0",0.22550045,54,0,0.412764539,6000,8,0,1,0,0
"0",0.058916261,57,0,0.217943107,6854,7,0,1,0,0
"0",0.014899851,48,1,0.516428056,9708,15,0,1,0,1
"0",0.017886808,74,0,1.534204458,1300,13,0,2,0,0
"0",0.149843752,87,0,0.148972603,2335,10,0,0,0,0
"0",0.108152577,59,0,0.648893628,3750,26,0,0,0,0
"0",0.097851883,45,0,0.195956811,4352,16,0,0,0,2
"0",0.083926808,40,0,0.197401299,2000,6,0,0,0,0
"1",0.13893399,52,1,0.214771364,7500,9,0,1,0,1
"0",0.9999999,29,0,0.283741966,4200,7,0,1,0,0
"0",0.144878408,66,0,0.28446242,8900,9,0,1,0,0
"0",0.003388701,40,0,1.290521054,5200,4,0,3,0,1
"1",0.906382811,35,0,0.411655478,7000,6,0,1,0,0
"0",0.248525049,40,0,0.598673824,3166,6,0,2,0,0
"0",0.961648974,33,0,0.396450939,9579,6,0,2,0,3
"0",0.039595619,39,0,0.073507102,7250,9,0,0,0,0
"0",0.257055066,61,0,0.680042661,7500,20,0,2,0,0
"0",0.971199211,29,0,0.516870782,4000,13,0,2,0,0
"1",0.086907738,45,1,0.057460612,9710,10,0,0,0,1
"0",0.124825002,50,0,0.362704662,8000,13,0,2,0,4
"0",0.221646452,50,1,0.211781713,8300,10,0,1,0,2
"0",0.406293181,49,0,0.372587141,7200,13,0,2,0,0
"0",0.626079131,69,0,1.305218447,1647,8,0,2,0,0
"0",0.001333306,92,0,0.000285633,3500,5,0,0,0,0
"0",0.25163128,48,0,0.24240482,7800,10,0,1,0,0
"0",0.242103406,28,0,0.051237191,4000,7,0,0,0,0
"0",0.29264536,57,0,0.205927884,26484,11,0,2,0,3
"1",0.14600857,56,1,0.381769705,6000,6,2,1,3,2
"0",0.404989047,26,0,0.207767603,3166,9,0,0,0,1
"1",0.9999999,45,0,0.357910522,4000,6,6,0,1,2
"0",1.057647963,25,1,0.102604578,3800,4,1,0,1,0
"1",0.76866601,60,2,0.459317585,8000,10,0,2,0,0
"1",0.9999999,28,2,0.207650273,1280,1,2,0,2,0
"0",0.059470265,28,0,0.001028454,2916,2,0,0,0,1
"0",0.466511526,67,0,0.416936195,3400,14,0,1,0,0
"0",0.383473019,31,0,0.698424069,1395,7,0,1,0,0
"0",0.574118398,37,0,0.353884329,10477,7,0,2,0,2
"0",0.007141837,39,0,0.238913099,3900,4,0,0,0,3
"1",1.020704908,33,1,0.288608261,3800,4,1,0,0,0
"0",0.953555878,47,0,0.549245785,3380,5,0,1,0,0
"0",0.020350163,54,0,0.355552671,15406,10,0,5,0,1
"0",0.559096846,49,0,1.016995751,4000,8,0,2,0,2
"0",0.050359793,61,0,0.659336265,2500,15,0,1,0,1
"0",0.358063592,54,1,0.281815725,3700,16,0,0,0,0
"0",0.655812625,61,0,0.506940589,1800,3,0,1,0,0
"0",0.00077776,74,0,0.209539523,13333,6,0,3,0,0
"0",0.034022846,56,0,0.245936148,8550,24,0,3,0,0
"0",0.020734364,47,0,0.711244436,5166,7,0,3,0,0
"0",0.124004058,68,0,0.595171449,8573,16,0,5,0,1
"0",0.493638677,49,0,1.379827351,2200,15,0,0,0,0
"0",0.97360176,56,2,0.442854342,5100,5,1,1,0,0
"0",0.050233664,55,0,0.150570521,8500,6,0,1,0,2
"0",0.011074723,65,0,0.246828143,9536,9,0,1,0,0
"0",0.877240212,38,1,0.791301298,2850,7,0,1,0,1
"1",1.698433855,43,1,0.479265092,1904,6,0,1,0,0
"0",0.686052593,38,0,0.608762181,12416,13,0,2,0,4
"0",0.097259242,42,1,0.037667946,4167,5,0,0,0,2
"0",0.035943044,29,0,0.012098895,1900,5,0,0,0,0
"0",0.084447084,28,0,0.147482014,3335,5,0,0,0,0
"0",0.436847522,31,6,0.074442675,7535,14,0,0,1,2
"0",0.642997584,40,0,0.924882629,3833,8,0,1,1,2
"0",0.028339741,61,0,0.291854073,2000,9,0,1,0,0
"0",0.003242598,54,0,0.245800305,13750,15,0,1,0,1
"0",0.990631523,36,0,0.600599957,9333,8,0,4,0,2
"0",0.000461493,61,0,0.000184604,5416,21,0,0,0,0
"0",0.00243733,60,0,0.202639868,6666,10,0,1,0,0
"0",0.636245993,54,0,0.102149762,6930,4,0,0,0,2
"0",0.558396853,48,3,0.327069172,2500,10,0,1,2,1
